code,description,last_updated
126813005,Neoplasm of anterior aspect of epiglottis,2024-10-01
126813005,Neoplasm of anterior aspect of epiglottis,2024-10-01
126814004,Neoplasm of junctional region of epiglottis,2024-10-01
126814004,Neoplasm of junctional region of epiglottis,2024-10-01
126815003,Neoplasm of lateral wall of oropharynx,2024-10-01
126815003,Neoplasm of lateral wall of oropharynx,2024-10-01
126816002,Neoplasm of posterior wall of oropharynx,2024-10-01
126816002,Neoplasm of posterior wall of oropharynx,2024-10-01
126817006,Neoplasm of esophagus,2024-10-01
126817006,Neoplasm of esophagus,2024-10-01
126818001,Neoplasm of cervical esophagus,2024-10-01
126818001,Neoplasm of cervical esophagus,2024-10-01
126819009,Neoplasm of thoracic esophagus,2024-10-01
126819009,Neoplasm of thoracic esophagus,2024-10-01
126820003,Neoplasm of abdominal esophagus,2024-10-01
126820003,Neoplasm of abdominal esophagus,2024-10-01
126822006,Neoplasm of middle third of esophagus,2024-10-01
126822006,Neoplasm of middle third of esophagus,2024-10-01
126823001,Neoplasm of lower third of esophagus,2024-10-01
126823001,Neoplasm of lower third of esophagus,2024-10-01
126824007,Neoplasm of stomach,2024-10-01
126824007,Neoplasm of stomach,2024-10-01
126825008,Neoplasm of cardia of stomach,2024-10-01
126825008,Neoplasm of cardia of stomach,2024-10-01
126826009,Neoplasm of fundus of stomach,2024-10-01
126826009,Neoplasm of fundus of stomach,2024-10-01
126827000,Neoplasm of body of stomach,2024-10-01
126827000,Neoplasm of body of stomach,2024-10-01
126828005,Neoplasm of lesser curvature of stomach,2024-10-01
126828005,Neoplasm of lesser curvature of stomach,2024-10-01
126829002,Neoplasm of greater curvature of stomach,2024-10-01
126829002,Neoplasm of greater curvature of stomach,2024-10-01
126830007,Neoplasm of pyloric antrum,2024-10-01
126830007,Neoplasm of pyloric antrum,2024-10-01
126831006,Neoplasm of pylorus,2024-10-01
126831006,Neoplasm of pylorus,2024-10-01
126832004,Neoplasm of small intestine,2024-10-01
126832004,Neoplasm of small intestine,2024-10-01
126833009,Neoplasm of duodenum,2024-10-01
126833009,Neoplasm of duodenum,2024-10-01
126834003,Neoplasm of jejunum,2024-10-01
126834003,Neoplasm of jejunum,2024-10-01
126835002,Neoplasm of ileum,2024-10-01
126835002,Neoplasm of ileum,2024-10-01
126836001,Neoplasm of Meckel's diverticulum,2024-10-01
126837005,Neoplasm of large intestine,2024-10-01
126837005,Neoplasm of large intestine,2024-10-01
126838000,Neoplasm of colon,2024-10-01
126838000,Neoplasm of colon,2024-10-01
126839008,Neoplasm of cecum,2024-10-01
126839008,Neoplasm of cecum,2024-10-01
126840005,Neoplasm of ascending colon,2024-10-01
126840005,Neoplasm of ascending colon,2024-10-01
126841009,Neoplasm of hepatic flexure of colon,2024-10-01
126841009,Neoplasm of hepatic flexure of colon,2024-10-01
126842002,Neoplasm of transverse colon,2024-10-01
126842002,Neoplasm of transverse colon,2024-10-01
126843007,Neoplasm of splenic flexure of colon,2024-10-01
126843007,Neoplasm of splenic flexure of colon,2024-10-01
126844001,Neoplasm of descending colon,2024-10-01
126844001,Neoplasm of descending colon,2024-10-01
126845000,Neoplasm of sigmoid colon,2024-10-01
