code,description,last_updated
A1001007,"Dressing for one wound,Dressing for one wound,,,C,,200207012002",2024-10-01
A2001007,"Dressing for two wounds,Dressing for two wounds,,,C,,200207012002",2024-10-01
A3001007,"Dressing for three wounds,Dressing for three wounds,,,C,,200207012002",2024-10-01
A4001007,"Dressing for four wounds,Dressing for four wounds,,,C,,200207012002",2024-10-01
A5001007,"Dressing for five wounds,Dressing for five wounds,,,C,,200207012002",2024-10-01
A6001007,"Dressing for six wounds,Dressing for six wounds,,,C,,200207012002",2024-10-01
A7001007,"Dressing for seven wounds,Dressing for seven wounds,,,C,,200207012002",2024-10-01
A8001007,"Dressing for eight wounds,Dressing for eight wounds,,,C,,200207012002",2024-10-01
A9001007,"Dressing for nine or more wounds,Dressing for 9 or more wound,,,C,,200207012002",2024-10-01
AA001007,"Anesthesia services performed personally by anesthesiologist,Anesthesia perf by a",2024-10-01
AB001007,"Audiology service furnished personally by an audiologist without a,Aud svs w/o or",2024-10-01
AB002008,"physician/npp order for non-acute hearing assessment unrelated to,,,,,,",2024-10-01
AB003008,"""disequilibrium, or hearing aids, or examinations for the purpose of"",,,,,,",2024-10-01
AB004008,"""prescribing, fitting, or changing hearing aids; service may be performed once"",,",2024-10-01
AB005008,"""every 12 months, per beneficiary"",,,,,,",2024-10-01
AD001007,"Medical supervision by a physician: more than four concurrent anesthesia,""Md supe",2024-10-01
AD002008,"procedures,,,,,,",2024-10-01
AE001007,"Registered dietician,Registered dietician,,,C,,200501012005",2024-10-01
AF001007,"Specialty physician,Specialty physician,,,C,,200501012005",2024-10-01
AG001007,"Primary physician,Primary physician,,,C,,200501012005",2024-10-01
AH001007,"Clinical psychologist,Clinical psychologist                                  2150",2024-10-01
AI001007,"Principal physician of record,Principal physician of rec,,,C,,201001012010",2024-10-01
AJ001007,"Clinical social worker,Clinical social worker                                 215",2024-10-01
AK001007,"Non participating physician,Non participating physician,,,C,,200501012005",2024-10-01
AM001007,"""Physician, team member service"",""Physician, team member svc",2024-10-01
AO001007,"Alternate payment method declined by provider of service,Prov declined alt pmt me",2024-10-01
AP001007,"Determination of refractive state was not performed in the course of diagnostic,N",2024-10-01
AP002008,"ophthalmological examination,,,,,,",2024-10-01
AQ001007,"Physician providing a service in an unlisted health professional shortage area,Ph",2024-10-01
AQ002008,"(hpsa),,,,,,",2024-10-01
AR001007,"Physician provider services in a physician scarcity area,Physician scarcity area,",2024-10-01
AS001007,"""Physician assistant, nurse practitioner, or clinical nurse specialist services"",",2024-10-01
AS002008,"for assistant at surgery,,,,,,",2024-10-01
AT001007,"""Acute treatment (this modifier should be used when reporting service 98940,"",Acu",2024-10-01
AT002008,"""98941, 98942)"",,,,,,",2024-10-01
AU001007,"""Item furnished in conjunction with a urological, ostomy, or tracheostomy supply""",2024-10-01
AV001007,"""Item furnished in conjunction with a prosthetic device, prosthetic or orthotic"",",2024-10-01
AW001007,"Item furnished in conjunction with a surgical dressing,Item w a surgical dressing",2024-10-01
AX001007,"Item furnished in conjunction with dialysis services,Item w dialysis services,,,C",2024-10-01
