code,description,last_updated
A00.-,,2024-10-01
A00.0,"Cholera due to Vibrio cholerae 01, biovar cholerae",2024-10-01
A00.1,"Cholera due to Vibrio cholerae 01, biovar eltor",2024-10-01
A00.9,"Cholera, unspecified",2024-10-01
A01.-,,2024-10-01
A01.0,Typhoid fever,2024-10-01
A01.1,Paratyphoid fever A,2024-10-01
A01.2,Paratyphoid fever B,2024-10-01
A01.3,Paratyphoid fever C,2024-10-01
A01.4,"Paratyphoid fever, unspecified",2024-10-01
A02.-,,2024-10-01
A02.0,Salmonella enteritis,2024-10-01
A02.1,Salmonella sepsis,2024-10-01
A02.2,Localized salmonella infections,2024-10-01
A02.8,Other specified salmonella infections,2024-10-01
A02.9,"Salmonella infection, unspecified",2024-10-01
A03.-,,2024-10-01
A03.0,Shigellosis due to Shigella dysenteriae,2024-10-01
A03.1,Shigellosis due to Shigella flexneri,2024-10-01
A03.2,Shigellosis due to Shigella boydii,2024-10-01
A03.3,Shigellosis due to Shigella sonnei,2024-10-01
A03.8,Other shigellosis,2024-10-01
A03.9,"Shigellosis, unspecified",2024-10-01
A04.-,,2024-10-01
A04.0,Enteropathogenic Escherichia coli infection,2024-10-01
A04.1,Enterotoxigenic Escherichia coli infection,2024-10-01
A04.2,Enteroinvasive Escherichia coli infection,2024-10-01
A04.3,Enterohaemorrhagic Escherichia coli infection,2024-10-01
A04.4,Other intestinal Escherichia coli infections,2024-10-01
A04.5,Campylobacter enteritis,2024-10-01
A04.6,Enteritis due to Yersinia enterocolitica,2024-10-01
A04.7,Enterocolitis due to Clostridium difficile,2024-10-01
A04.8,Other specified bacterial intestinal infections,2024-10-01
A04.9,"Bacterial intestinal infection, unspecified",2024-10-01
A05.-,,2024-10-01
A05.0,Foodborne staphylococcal intoxication,2024-10-01
A05.1,Botulism,2024-10-01
A05.2,Foodborne Clostridium perfringens [Clostridium welchii] intoxication,2024-10-01
A05.3,Foodborne Vibrio parahaemolyticus intoxication,2024-10-01
A05.4,Foodborne Bacillus cereus intoxication,2024-10-01
A05.8,Other specified bacterial foodborne intoxications,2024-10-01
A05.9,"Bacterial foodborne intoxication, unspecified",2024-10-01
A06.-,,2024-10-01
A06.0,Acute amoebic dysentery,2024-10-01
A06.1,Chronic intestinal amoebiasis,2024-10-01
A06.2,Amoebic nondysenteric colitis,2024-10-01
A06.3,Amoeboma of intestine,2024-10-01
A06.4,Amoebic liver abscess,2024-10-01
A06.5,Amoebic lung abscess,2024-10-01
A06.6,Amoebic brain abscess,2024-10-01
A06.7,Cutaneous amoebiasis,2024-10-01
A06.8,Amoebic infection of other sites,2024-10-01
A06.9,"Amoebiasis, unspecified",2024-10-01
A07.-,,2024-10-01
A07.0,Balantidiasis,2024-10-01
A07.1,Giardiasis [lambliasis],2024-10-01
A07.2,Cryptosporidiosis,2024-10-01
A07.3,Isosporiasis,2024-10-01
A07.8,Other specified protozoal intestinal diseases,2024-10-01
A07.9,"Protozoal intestinal disease, unspecified",2024-10-01
A08.-,,2024-10-01
A08.0,Rotaviral enteritis,2024-10-01
A08.1,Acute gastroenteropathy due to Norovirus,2024-10-01
A08.2,Adenoviral enteritis,2024-10-01
A08.3,Other viral enteritis,2024-10-01
A08.4,"Viral intestinal infection, unspecified",2024-10-01
A08.5,Other specified intestinal infections,2024-10-01
A09.-,,2024-10-01
A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,2024-10-01
A09.9,Gastroenteritis and colitis of unspecified origin,2024-10-01
A15.-,,2024-10-01
A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",2024-10-01
A15.1,"Tuberculosis of lung, confirmed by culture only",2024-10-01
A15.2,"Tuberculosis of lung, confirmed histologically",2024-10-01
A15.3,"Tuberculosis of lung, confirmed by unspecified means",2024-10-01
A15.4,"Tuberculosis of intrathoracic lymph nodes, confirmed bacteriologically and histologically",2024-10-01
A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",2024-10-01
A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",2024-10-01
A15.7,"Primary respiratory tuberculosis, confirmed bacteriologically and histologically",2024-10-01
A15.8,"Other respiratory tuberculosis, confirmed bacteriologically and histologically",2024-10-01
A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",2024-10-01
A16.-,,2024-10-01
A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",2024-10-01
A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",2024-10-01
A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",2024-10-01
A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",2024-10-01
A16.4,"Tuberculosis of larynx, trachea and bronchus, without mention of bacteriological or histological confirmation",2024-10-01
A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",2024-10-01
A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,2024-10-01
A16.8,"Other respiratory tuberculosis, without mention of bacteriological or histological confirmation",2024-10-01
A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",2024-10-01
A17.-,,2024-10-01
A17.0,Tuberculous meningitis,2024-10-01
A17.1,Meningeal tuberculoma,2024-10-01
A17.8,Other tuberculosis of nervous system,2024-10-01
A17.9,"Tuberculosis of nervous system, unspecified",2024-10-01
A18.-,,2024-10-01
A18.0,Tuberculosis of bones and joints,2024-10-01
A18.1,Tuberculosis of genitourinary system,2024-10-01
A18.2,Tuberculous peripheral lymphadenopathy,2024-10-01
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",2024-10-01
A18.4,Tuberculosis of skin and subcutaneous tissue,2024-10-01
A18.5,Tuberculosis of eye,2024-10-01
A18.6,Tuberculosis of ear,2024-10-01
A18.7,Tuberculosis of adrenal glands,2024-10-01
A18.8,Tuberculosis of other specified organs,2024-10-01
A19.-,,2024-10-01
A19.0,Acute miliary tuberculosis of a single specified site,2024-10-01
A19.1,Acute miliary tuberculosis of multiple sites,2024-10-01
A19.2,"Acute miliary tuberculosis, unspecified",2024-10-01
A19.8,Other miliary tuberculosis,2024-10-01
A19.9,"Miliary tuberculosis, unspecified",2024-10-01
A20.-,,2024-10-01
A20.0,Bubonic plague,2024-10-01
A20.1,Cellulocutaneous plague,2024-10-01
A20.2,Pneumonic plague,2024-10-01
A20.3,Plague meningitis,2024-10-01
A20.7,Septicaemic plague,2024-10-01
A20.8,Other forms of plague,2024-10-01
A20.9,"Plague, unspecified",2024-10-01
A21.-,,2024-10-01
A21.0,Ulceroglandular tularaemia,2024-10-01
A21.1,Oculoglandular tularaemia,2024-10-01
A21.2,Pulmonary tularaemia,2024-10-01
A21.3,Gastrointestinal tularaemia,2024-10-01
A21.7,Generalized tularaemia,2024-10-01
A21.8,Other forms of tularaemia,2024-10-01
A21.9,"Tularaemia, unspecified",2024-10-01
A22.-,,2024-10-01
A22.0,Cutaneous anthrax,2024-10-01
A22.1,Pulmonary anthrax,2024-10-01
A22.2,Gastrointestinal anthrax,2024-10-01
A22.7,Anthrax sepsis,2024-10-01
A22.8,Other forms of anthrax,2024-10-01
A22.9,"Anthrax, unspecified",2024-10-01
A23.-,,2024-10-01
A23.0,Brucellosis due to Brucella melitensis,2024-10-01
A23.1,Brucellosis due to Brucella abortus,2024-10-01
A23.2,Brucellosis due to Brucella suis,2024-10-01
A23.3,Brucellosis due to Brucella canis,2024-10-01
A23.8,Other brucellosis,2024-10-01
A23.9,"Brucellosis, unspecified",2024-10-01
A24.-,,2024-10-01
A24.0,Glanders,2024-10-01
A24.1,Acute and fulminating melioidosis,2024-10-01
A24.2,Subacute and chronic melioidosis,2024-10-01
A24.3,Other melioidosis,2024-10-01
A24.4,"Melioidosis, unspecified",2024-10-01
A25.-,,2024-10-01
A25.0,Spirillosis,2024-10-01
A25.1,Streptobacillosis,2024-10-01
A25.9,"Rat-bite fever, unspecified",2024-10-01
A26.-,,2024-10-01
A26.0,Cutaneous erysipeloid,2024-10-01
A26.7,Erysipelothrix sepsis,2024-10-01
A26.8,Other forms of erysipeloid,2024-10-01
A26.9,"Erysipeloid, unspecified",2024-10-01
A27.-,,2024-10-01
A27.0,Leptospirosis icterohaemorrhagica,2024-10-01
A27.8,Other forms of leptospirosis,2024-10-01
A27.9,"Leptospirosis, unspecified",2024-10-01
A28.-,,2024-10-01
A28.0,Pasteurellosis,2024-10-01
A28.1,Cat-scratch disease,2024-10-01
A28.2,Extraintestinal yersiniosis,2024-10-01
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified",2024-10-01
A28.9,"Zoonotic bacterial disease, unspecified",2024-10-01
A30.-,,2024-10-01
A30.0,Indeterminate leprosy,2024-10-01
A30.1,Tuberculoid leprosy,2024-10-01
A30.2,Borderline tuberculoid leprosy,2024-10-01
A30.3,Borderline leprosy,2024-10-01
A30.4,Borderline lepromatous leprosy,2024-10-01
A30.5,Lepromatous leprosy,2024-10-01
A30.8,Other forms of leprosy,2024-10-01
A30.9,"Leprosy, unspecified",2024-10-01
A31.-,,2024-10-01
A31.0,Pulmonary mycobacterial infection,2024-10-01
A31.1,Cutaneous mycobacterial infection,2024-10-01
A31.8,Other mycobacterial infections,2024-10-01
A31.9,"Mycobacterial infection, unspecified",2024-10-01
A32.-,,2024-10-01
A32.0,Cutaneous listeriosis,2024-10-01
A32.1,Listerial meningitis and meningoencephalitis,2024-10-01
A32.7,Listerial sepsis,2024-10-01
A32.8,Other forms of listeriosis,2024-10-01
A32.9,"Listeriosis, unspecified",2024-10-01
A33,,2024-10-01
A34,,2024-10-01
A35,,2024-10-01
A36.-,,2024-10-01
A36.0,Pharyngeal diphtheria,2024-10-01
A36.1,Nasopharyngeal diphtheria,2024-10-01
A36.2,Laryngeal diphtheria,2024-10-01
A36.3,Cutaneous diphtheria,2024-10-01
A36.8,Other diphtheria,2024-10-01
A36.9,"Diphtheria, unspecified",2024-10-01
A37.-,,2024-10-01
A37.0,Whooping cough due to Bordetella pertussis,2024-10-01
A37.1,Whooping cough due to Bordetella parapertussis,2024-10-01
A37.8,Whooping cough due to other Bordetella species,2024-10-01
A37.9,"Whooping cough, unspecified",2024-10-01
A38,,2024-10-01
A39.-,,2024-10-01
A39.0,Meningococcal meningitis,2024-10-01
A39.1,Waterhouse-Friderichsen syndrome,2024-10-01
A39.2,Acute meningococcaemia,2024-10-01
A39.3,Chronic meningococcaemia,2024-10-01
A39.4,"Meningococcaemia, unspecified",2024-10-01
A39.5,Meningococcal heart disease,2024-10-01
A39.8,Other meningococcal infections,2024-10-01
A39.9,"Meningococcal infection, unspecified",2024-10-01
A40.-,,2024-10-01
A40.0,"Sepsis due to streptococcus, group A",2024-10-01
A40.1,"Sepsis due to streptococcus, group B",2024-10-01
A40.2,"Sepsis due to streptococcus, group D and enterococcus",2024-10-01
A40.3,Sepsis due to Streptococcus pneumoniae,2024-10-01
A40.8,Other streptococcal sepsis,2024-10-01
A40.9,"Streptococcal sepsis, unspecified",2024-10-01
A41.-,,2024-10-01
A41.0,Sepsis due to Staphylococcus aureus,2024-10-01
A41.1,Sepsis due to other specified staphylococcus,2024-10-01
A41.2,Sepsis due to unspecified staphylococcus,2024-10-01
A41.3,Sepsis due to Haemophilus influenzae,2024-10-01
A41.4,Sepsis due to anaerobes,2024-10-01
A41.5,Sepsis due to other Gram-negative organisms,2024-10-01
A41.8,Other specified sepsis,2024-10-01
A41.9,"Sepsis, unspecified",2024-10-01
A42.-,,2024-10-01
A42.0,Pulmonary actinomycosis,2024-10-01
A42.1,Abdominal actinomycosis,2024-10-01
A42.2,Cervicofacial actinomycosis,2024-10-01
A42.7,Actinomycotic sepsis,2024-10-01
A42.8,Other forms of actinomycosis,2024-10-01
A42.9,"Actinomycosis, unspecified",2024-10-01
A43.-,,2024-10-01
A43.0,Pulmonary nocardiosis,2024-10-01
A43.1,Cutaneous nocardiosis,2024-10-01
A43.8,Other forms of nocardiosis,2024-10-01
A43.9,"Nocardiosis, unspecified",2024-10-01
A44.-,,2024-10-01
A44.0,Systemic bartonellosis,2024-10-01
A44.1,Cutaneous and mucocutaneous bartonellosis,2024-10-01
A44.8,Other forms of bartonellosis,2024-10-01
A44.9,"Bartonellosis, unspecified",2024-10-01
A46,,2024-10-01
A48.-,,2024-10-01
A48.0,Gas gangrene,2024-10-01
A48.1,Legionnaires disease,2024-10-01
A48.2,Nonpneumonic Legionnaires disease [Pontiac fever],2024-10-01
A48.3,Toxic shock syndrome,2024-10-01
A48.4,Brazilian purpuric fever,2024-10-01
A48.8,Other specified bacterial diseases,2024-10-01
A49.-,,2024-10-01
A49.0,"Staphylococcal infection, unspecified site",2024-10-01
A49.1,"Streptococcal and enterococcal infection, unspecified site",2024-10-01
A49.2,"Haemophilus influenzae infection, unspecified site",2024-10-01
A49.3,"Mycoplasma infection, unspecified site",2024-10-01
A49.8,Other bacterial infections of unspecified site,2024-10-01
A49.9,"Bacterial infection, unspecified",2024-10-01
A50.-,,2024-10-01
A50.0,"Early congenital syphilis, symptomatic",2024-10-01
A50.1,"Early congenital syphilis, latent",2024-10-01
A50.2,"Early congenital syphilis, unspecified",2024-10-01
A50.3,Late congenital syphilitic oculopathy,2024-10-01
A50.4,Late congenital neurosyphilis [juvenile neurosyphilis],2024-10-01
A50.5,"Other late congenital syphilis, symptomatic",2024-10-01
A50.6,"Late congenital syphilis, latent",2024-10-01
A50.7,"Late congenital syphilis, unspecified",2024-10-01
A50.9,"Congenital syphilis, unspecified",2024-10-01
A51.-,,2024-10-01
A51.0,Primary genital syphilis,2024-10-01
A51.1,Primary anal syphilis,2024-10-01
A51.2,Primary syphilis of other sites,2024-10-01
A51.3,Secondary syphilis of skin and mucous membranes,2024-10-01
A51.4,Other secondary syphilis,2024-10-01
A51.5,"Early syphilis, latent",2024-10-01
A51.9,"Early syphilis, unspecified",2024-10-01
A52.-,,2024-10-01
A52.0,Cardiovascular syphilis,2024-10-01
A52.1,Symptomatic neurosyphilis,2024-10-01
A52.2,Asymptomatic neurosyphilis,2024-10-01
A52.3,"Neurosyphilis, unspecified",2024-10-01
A52.7,Other symptomatic late syphilis,2024-10-01
A52.8,"Late syphilis, latent",2024-10-01
A52.9,"Late syphilis, unspecified",2024-10-01
A53.-,,2024-10-01
A53.0,"Latent syphilis, unspecified as early or late",2024-10-01
A53.9,"Syphilis, unspecified",2024-10-01
A54.-,,2024-10-01
A54.0,Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess,2024-10-01
A54.1,Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess,2024-10-01
A54.2,Gonococcal pelviperitonitis and other gonococcal genitourinary infections,2024-10-01
A54.3,Gonococcal infection of eye,2024-10-01
A54.4,Gonococcal infection of musculoskeletal system,2024-10-01
A54.5,Gonococcal pharyngitis,2024-10-01
A54.6,Gonococcal infection of anus and rectum,2024-10-01
